source,web-scraper-order,price,size,location,classification,roads,price per foot
Bahrain Finder,1746268218-3571,124761,340.9,Nabih Saleh,RA,1,34
Property Finder,1746261183-476,73000,200,Hamala,RHA,1,33.9
Property Finder,1746261337-537,159179,436,Shakhura,RB,1,33.9
Property Finder,1746262998-1185,82000,225,Maqabah,RHA,1,33.9
Property Finder,1746263375-1332,139000,381,Riffa Al Sharqi,RB,1,33.9
Bahrain Finder,1746267767-322,113192,310.2,Sitra,RA,1,33.9
Bahrain Finder,1746267804-601,62000,170,Hamalah,RHA,2,33.9
Bahrain Finder,1746267816-704,72999,200.1,Muharraq,RHA,1,33.9
Bahrain Finder,1746267816-708,122500,336,Buqwa,RA,1,33.9
Bahrain Finder,1746267824-758,110000,301.1,A'ali,RA,1,33.9
Bahrain Finder,1746267914-1413,113000,309.6,Hawrat A'ali,RA,1,33.9
Property Finder,1746260121-62,80000,220,Diyar Al Muharraq,RHA,1,33.8
Property Finder,1746260126-64,80000,220,Diyar Al Muharraq,RHA,1,33.8
Property Finder,1746261270-511,64000,176,Malkiyah,RHA,1,33.8
Property Finder,1746261836-733,59000,162,Hamala,RHA,1,33.8
